final_sev,id,dimension,status,warehouse,title,claim,evidence,refuter,adjust,deeper_root_cause,recommendation
P0,D1-06,D1-entry,风险,共识,入口各写各表:同一共识仓被三套独立写入路径直插,"consensus 仓(atomic_facts/commitments/risk_signals)至少有三套互不统一的写入路径:IngestPipeline.ingest(走 source_registry)、chat_message_reverse_ingester(直接 INSERT)、document_llm_extractor 等深读 worker——各自管理 source 字段,无统一登记。","代码: ingest_pipeline.py:749 INSERT INTO atomic_facts(带 source_registry_id);chat_message_reverse_ingester.py:287 独立 INSERT INTO atomic_facts(不带 source_registry_id);文件头注释""写入出口统一走 IngestPipeline.ingest()""(ingest_pipeline.py:14)与现实不符。documents 表全库有 ~15 处 INSERT(grep 'INSERT INTO documents' main.py=9 + services=6)。",成立,up,"真正更深根因不是「三套入口各写各表」,而是【共识仓的 source 溯源在 schema 与数据两层都未真正落地,且主力写手是已脱离当前代码的历史回填路径】:  A) 主力写手根本不在原结论列举的任一路径里。真库 atomic_facts 2288 条中 1981 条(87%)是 plain-UUID 主键(如 0676ba40-5f9e-41d2-...,非 af_/af_chat/af_mm/fact_dr 前缀),actor_type='human'、actor_id 空、reasoning_trace_id 空、source_registry_id=NULL,只挂 source_v2_document_id/chunk_id。当前代码 5 个 INSERT 点全部用带前缀的 id 生成,无一产生 plain-UUID——证明这 1981 条来自一个已不在现行代码中的 legacy/回填写手。SQL 月度分布: 2026-03=1098 / 04=282 / 05=599 / 06=2,跨 223 个不同 v2_document。原结论盯着 chat/深读 worker,而真正灌满共识仓的是这个谁也管不到、无 source_registry 的历史路径。  B) schema 层就没给共识仓统一溯源字段。`SELECT ... source_registry_id FROM commitments` 报错 no such column——commitments 表压根没有 source_registry_id 列,所以「commitments 收口到统一 IngestSource登记」在结构上不可能;risk_signals 走的是另一套 source_type+source_id 模型(PRAGMA 显示无 registry 关联)。三张共识表是三种互不兼容的溯源 schema,不是「同一登记被三套路径绕过」,而是「根本不存在一个所有共识表共享的 source 契约」。  C) 因此根因链是: 共识仓三表溯源 schema 分裂(C) → 唯一的统一登记函数 register_source 后加且只对少数新路径接(B 部分修补) → 真库主力是无登记的历史回填(A) ⇒ 表象才是「各写各表、source 不统一」。收口单一 IngestPipeline 治不了 A(历史数据已落库、写手已不存在)也治不了 B(commitments/risk_signals 无字段可收口)。  严重度应维持 P1 偏上甚至触及 P0 的溯源不可信门槛: 真库 87% 共识事实 source_registry_id=NULL、source_registry 仅 4 行,等于「绝大多数被页面消费的事实无法回溯到原始资料」,这正是北极星里「来源不可溯」的 P0 判据。","把 atomic_facts/commitments/risk_signals 的写入收口到单一 IngestPipeline,所有 worker 经它落库并强制带 source 登记;消除 chat/深读各自直插,实现""一个写入出口""。"
P0,D6-03,D6-web-test-sec,风险,NA,90个历史失败测试被xfail(strict=False)集中静音保CI绿灯,"conftest用pytest_collection_modifyitems把_known_failing.py的90个测试统一打xfail,strict=False使其修复后变XPASS也不报警,等于关掉这90条的回归保护","backend/tests/_known_failing.py:KNOWN_FAILING_TESTS frozenset 90条(grep -c 命中90),docstring自述'90 failed/466 passed',65条在test_api_smoke.py。conftest.py:24-30 pytest.mark.xfail(strict=False) 按nodeid自动追加;conftest.py:27注释'通过时变XPASS,不算错'。后端共1233个test函数/130文件",成立,up,"原结论""xfail 静音保 CI 绿灯""只是中间层。更深根因有两层：  【更深根因一(P0级，比xfail严重得多)：根本不存在跑测试的 CI】 仓库唯一的 GitHub Actions workflow 是 .github/workflows/windows-release.yml，全文 grep 后 0 处 pytest/backend:test 调用——它只有3个job(build-unsigned/sign-with-SignPath/refresh-update-metadata)，纯打包+签名流水线(grep run: 仅 npm ci / npm run release:windows)。 且其触发器 .github/workflows/windows-release.yml on: 仅 workflow_dispatch(手动派发，需手填 ref)，全 .github/ 目录 grep ""push:|pull_request:"" = 0 命中 → 没有任何 push/PR 自动触发的测试门禁。无 .pre-commit-config / .husky 跑 pytest(均未命中)。 推论: 所谓""保CI绿灯""的 CI 在 push/PR 路径上根本不存在。xfail 这88条把本地 `npm run backend:test`(package.json:27 = uv run pytest)的退出码刷绿，但即便不 xfail、让它们 fail，也不会挡住任何合并或发版——因为没有门在那里。真正的回归保护缺口不是""88条被静音""，而是""整条后端测试链路从未进入任何自动化门禁""。1233个测试函数/140文件全靠人手本地跑。  【更深根因二：xfail 不是唯一静音通道，还有整文件级 skip 把更多测试从分母里抹掉】 除 conftest 外，至少3个文件用文件级 pytestmark 直接 skip(比 xfail 更狠，连跑都不跑、XPASS都不会出现)： - test_intelligence_refresh_api.py:14 pytestmark=pytest.mark.skip(reason=""同事资讯情报站半成品—共享胶水待补齐"") 整个资讯情报站API测试组失明 - test_v22_narrative_kernel.py:10 pytestmark=skip(reason=""NarrativeKernel 8段已废弃"") - test_local_organization_e2e.py:42 skipif(not PROD_DB.exists()) + 内部 pytest.skip(缺cloud creds) → 真·云e2e在CI环境必跳。 所以""88条xfail""只是可见冰山，skip 通道把另一批(含资讯情报站这种整模块)直接从计数里删除，原审计员只盯 xfail 漏了 skip 维度。  综合: D6-03 抓对了一个症状(88条xfail关回归保护)，但真根因是""后端测试根本没接入任何push/PR级CI门禁，xfail/skip 只是在一条本就不设防的链路上进一步降噪""。改 strict=True 只解决 XPASS 提醒，挡不住无门禁这个P0。","strict改True让XPASS报警(修好即提醒移出清单),并按模块认领修复这90条;否则test_api_smoke里65条核心API行为长期失明。"
P1,D1-01,D1-entry,门面,共识,蓝图统一来源登记表 source_registry 实质死亡(门面),"设计为 IngestPipeline 强校验入口的 source_registry 全库仅 4 行且全是 llm_extracted 衍生品,register_source 在 main.py 零调用,2288 条 atomic_facts 仅 4 条(0.17%)挂 source_registry_id。","SQL: SELECT count(*) FROM source_registry → 4; SELECT DISTINCT source_type FROM source_registry → 全部 'llm_extracted'(owner=contradiction_detector,role=ai_derived)。SQL: SELECT sum(source_registry_id<>''),count(*) FROM atomic_facts → 4 / 2288。代码: register_source 仅在 backend/app/services/ingest_pipeline.py:671-687 best-effort 调用,失败即静默继续(行 687 注释""继续写 atomic_facts, source_id 为 None"");grep 'register_source(' backend/app/main.py 零命中。",成立,keep,"真根因=atomic_facts写入路径从未收敛到单一主干(写侧分裂),而非""register_source best-effort静默失败""。硬证据:grep'INSERT INTO atomic_facts'命中5个独立writer(ingest_pipeline/meeting_minute_processor/smart_file_import/contradiction_detector/chat_message_reverse_ingester);其中只3个INSERT含source_registry_id列。真库交叉表(SQL:SELECT source_type,reg,count(*) FROM atomic_facts GROUP BY)证明高产路径绕开registry是【设计如此非失败】:client_internal_doc 144 + client_official_doc 53 + collaboration_task 89 = 286条100%NULL;llm_extracted 1998 NULL vs 仅4 HAS。meeting_minute_processor.py:224的INSERT列清单根本没有source_registry_id字段;chat_message_reverse_ingester.py:279-281自述""不走IngestPipeline...生产链路应该走IngestPipeline但demo这里直写""。即便唯一接了register_source的IngestPipeline.ingest(document_llm_extractor.py:413调)也只给~2002条llm_extracted中的4条挂上registry——说明IngestPipeline本身都不是真相产线主力。ingest_pipeline.py:1,14的docstring自称""4主路径统一入口...写入出口统一走IngestPipeline.ingest不再各自INSERT"",但真库与代码双重证伪:这是被破坏的""统一入口""承诺。所以source_registry是【写侧未收敛的蜘蛛网】的症状,不是孤立的接线bug。北极星层面:这正是""模块各自拉线、直查表、状态源分裂""而非""统一数据中心地基""的实锤。","二选一拍板:要么废弃 source_registry 表面设计、把 data_center_ingest_events 正式确立为唯一来源登记主干并补回 source_registry 缺失的语义(source_role/confidence/version 链);要么把 register_source 提升为所有入口的硬前置。当前两表并存=状态源分裂,必须收敛到一张。"
P1,D1-02,D1-entry,半接通,原始,最大入口(文件上传/folder 导入)完全绕过统一来源登记,"1433 个 file_import 文档(folder 导入 1194 + 其它)是全系统最大入口,却在 data_center_ingest_events 中 0 条记录;它另起炉灶写 imports+documents+v2_documents,不调用任何 data_center ingest。","SQL: SELECT count(*) FROM documents WHERE origin_type='file_import' → 1433;SELECT count(*) FROM data_center_ingest_events WHERE source_type IN('document','file_import','smart_import') → 0。代码: /api/v1/imports 端点(backend/app/main.py:46253)仅 INSERT INTO imports,文件落库走 knowledge_v2,grep 'data_center_ingest' backend/app/services/knowledge_v2.py 中无 ingest 事件登记调用。data_center_ingest_events 实际 source_type 仅 task/task_attachment/weekly_review/weekly_review_entry/event_line_manual_update/external_sentiment 六类。",成立,keep,"真根因不是""导入另起炉灶不调 ingest"",而是""file_import → source_registry 的登记调用被 organization_id 空值闸门永久 no-op,而 organization_id 空又源于 mirror_organizations 空表(身份/团队中枢从未落数据)""。  逐层证据链: - 第1层(原结论症状):source_registry 里 file_import = 0 行(虽然 register_source 调用代码存在于 knowledge_v2.py:2473)。 - 第2层:该 register_source 整段被包在 `if organization_id:` 之内(knowledge_v2.py:2452)。organization_id 为空 → 整段跳过,文件导入静默不登记。真库证:SELECT sum(CASE WHEN organization_id!='' ...) FROM v2_documents → 0/1141,即 1141 个 v2_documents 无一带 org_id,闸门对所有真实导入恒为 False。 - 第3层:organization_id 来自 worker 里 _team_ctx = _resolve_team_context_for_async_worker(state.db)(main.py:4926)。 - 第4层(真根因):_resolve_team_context_for_async_worker(knowledge_v2.py:86-96) 第一步 `SELECT id FROM mirror_organizations LIMIT 1`,空则直接 `return {}`(退化单机模式,注释明写""表不存在/空时返{} → 调用方退化成单机模式, 不接 source_registry"")。真库证:SELECT count(*) FROM mirror_organizations → 0。  所以最深根因 = mirror_organizations(身份/组织镜像中枢)从未落数据 → 团队上下文恒空 → 所有 raw_file 的统一来源登记被闸门吃掉。这同时解释了原结论解释不了的现象:为什么唯一进 source_registry 的 4 条 llm_extracted 行的 org_id/user_id/owner 字段也全空——因为整个身份中枢是空的,不止文件导入这一条入口受害。data_center_ingest_events 从来不是这条入口的设计目标表,把它当""失明的来源登记""是找错了对象。","把文件导入主流程接入 data_center_ingest_events(在 knowledge_v2 文档落库后登记一条 ingest 事件),否则数据中心""来源登记""对最大的原始资料入口是失明的,溯源/去重/权限范围全靠不上。"
P1,D1-03,D1-entry,风险,共识,组织归属(organization_id)全系统结构性为空,"documents/tasks/meetings 的 organization_id 列 DEFAULT '',真库中全部 documents 与全部 805 条 ingest_events 的 organization_id 100% 为空;owner_user_id 也大面积为空。","SQL: SELECT origin_type,sum(organization_id='') FROM documents GROUP BY 1 → 每个 origin_type 的 emptyorg 计数=该组总数(全空);SELECT source_type,sum(organization_id='') FROM data_center_ingest_events GROUP BY 1 → 全空。PRAGMA table_info(tasks): organization_id TEXT NOT NULL DEFAULT '';PRAGMA table_info(meetings): 根本无 organization_id/owner 列。ingest_task_by_id(data_center_ingest.py:1426)忠实转发 org_id,但源表值为空 → 进数据中心仍空。",成立,keep,"原结论""在写入边界注入当前组织上下文""只是中间层修复方向,真正更深根因有三层:(1) 本地部署根本不存在真实 organization 实体可注入 —— SessionUserRecord.organizationId 被硬编码为哨兵字符串 ""local-device""(backend/app/main.py:5489),不是任何真实 org id;另有路径直接给 organizationId="""" (main.py:31513) 或 userId=""local-device-user""(31174/31185/31206)。所谓""当前组织上下文""在桌面单机态里是空概念。(2) org/部门的 SSOT 物理为空:mirror_organizations / mirror_departments / mirror_users 三张镜像表均 0 行(SQL 实测),即组织/部门/人员的权威来源从未灌入本地,导致即便想注入也无值可查。(3) 写入路径设计性遗漏:常用 task INSERT(main.py:3019、24330、50621)的列清单根本不含 organization_id,默认 '' 兜底;唯一写 org 的 cloud-event-line upsert 路径(main.py:9846)也只从 payload.get(""organizationId"") 取、客户端不传则回落 """"(9897 行 fallback 到 """")。结论:organization_id 全空不是""写边界忘了注入""这一个 bug,而是【org 是云端多租户概念、桌面单机态从未实例化真实 org/部门 SSOT(mirror_* 空)、且哨兵值 local-device 也未落库】的结构性缺位。数据中心宣称的""org/部门可见性范围""在桌面态下无任何数据支撑——共识事实仓(event_lines/memory_facts)、富化索引仓(v2_documents)同样零 org,不止采集侧。","在写入边界(建任务/上传文档/建会议)强制注入当前组织/用户上下文填充 organization_id/owner_user_id;否则数据中心声称的""org/部门可见性范围""无数据支撑,多组织或权限隔离全是空字段。"
P1,D1-04,D1-entry,半接通,原始,会议入口→数据中心写回断链(meetings 表缺 org/owner 列且 0 条 meeting ingest),"main.py 4 处接了 ingest_meeting_by_id,但 meetings 表 schema 只有 client_id 没有 organization_id/owner_id/created_by,ingest_meeting_by_id 读这些列恒为 None;真库 7 个 meeting/meeting_doc 但 ingest_events 中 0 条 meeting。",SQL: PRAGMA table_info(meetings) → 仅 id/client_id/title/stage/scheduled_at/transcript_text/notes/created_at/updated_at(无 org/owner/created_by)。代码: ingest_meeting_by_id(data_center_ingest.py:1618-1619)读 organization_id/owner_id/created_by。SQL: SELECT count(*) FROM data_center_ingest_events WHERE source_type='meeting' → 0(尽管 meetings=7、documents 中 meeting_doc=7)。,已推翻/修正,keep,"真根因是【会议生命周期断在前段,ingest 只挂在后段端点上,创建/准备阶段不接数据中心】,与 meetings 表是否有 org 列无关:  会议有 3 个写库入口,其中两个创建入口完全不调 ingest_meeting_by_id: - prepare_meeting(main.py:50473,POST /api/v1/clients/{cid}/meetings):INSERT meetings stage='prepared',transcript/notes 写空串,只 _enqueue_workspace_refresh_safe,没有 _safe_data_center_ingest。→ 这就是 5 条 prepared 空会议的来源。 - _create_strategic_meeting_pack(main.py:21737):同样 INSERT stage='prepared',无 ingest 调用。 - ingest_meeting_by_id 仅挂在后段 4 个动作端点:/ingest(51702)、/extract(51747)、/publish(51816)、战略 apply_meeting_pack(42311)。  因此:会议只要不被人工推进到""入库原文/抽取/发布"",就永远碰不到 ingest 调用点。真库里 6/7 会议卡在 prepared/resolved 且 body 全空,等于这批数据从没走到后段端点 → data center 自然 0 条 meeting。这是【流程接线缺口(创建态不入库)+ 数据从未推进到触发态】的双重结果,而非 schema 缺列。  附带:claim 推荐""给 meetings 补 organization_id/owner_id 并回填""是在错误根因上施工——补了列也不会增加任何 ingest event,因为闸门根本不看 org。正确修法应是:在 prepare_meeting / 创建态就接 ingest(让""会议骨架""也进原始资料仓),或对 stage 推进做一次 backfill 扫描(data_center_ingest.py:1955-1958 的 backfill 分支已支持 source_type='meeting',只是从未被运行)。","核实会议 ingest 是否被真实触发(可能仅在 feishu minutes import/meeting ingest 端点路径,而桌面建会议没走);给 meetings 表补 organization_id/owner_id 并回填;确认 4 个调用点至少有一个对实际会议生效。"
P1,D1-05,D1-entry,半接通,共识,工作台对话反向入口产出为零(代码在但数据不在),"chat_message_reverse_ingester 有独立代码直接 INSERT atomic_facts/commitments/risk_signals(不走 IngestPipeline),但真库 0 条 commitment 来自 chat、atomic_facts 也无 chat 来源,1139 条 chat_messages 几乎未转化。","代码: chat_message_reverse_ingester.py:287(INSERT atomic_facts)、:398(INSERT commitments)、:414(INSERT risk_signals),文件头注释自承""B 报告 38 分:工作台对话 1125 条不进 atomic_facts""。SQL: SELECT count(*) FROM commitments WHERE source_type LIKE '%chat%' OR source_id LIKE '%msg%' → 0;commitments 实际 source_type 仅 ai_inferred/narrative_generator/smart_import_story;atomic_facts source_type 仅 llm_extracted/client_internal_doc/collaboration_task/client_official_doc(无 chat)。chat_messages=1139。",已推翻/修正,keep,"真根因 = 双端点架构演进留下的""接错端点""孤儿,而非""没接调度器""。  证据链: 1. 系统有两个 chat 端点。旧:POST `/workspace/chat`(同步, main.py:49219, 返回 ChatMessageRecord);新:POST `/workspace/chat/start`(异步, main.py:48664, 返回 ChatStartResponse)。reverse ingester 仅接在旧端点(49531/打包 49233)。 2. 前端早已切到新端点。api.ts:4152 只调 /chat/start;无任何代码调旧 /chat。旧端点= dead route。 3. 反向入库代码加入时间 2026-05-23(git: abeae33 + main.py 调用 69adfb3),但加在了那时已被前端弃用的旧端点上;真库 chat_messages 时间跨度 2026-03-14→2026-06-09(今天),5-23 之后的新消息全部走 /start,从未触发 ingester。 4. 旁证:旧端点还带 packaged 模式 409 短路(_packaged_workspace_chat_ai_unavailable_detail, main.py:48652-... 在 mock provider 时 raise 409),即便前端误调旧端点,packaged 环境下也会在 ingest 之前 409 退出——双保险地保证 0 产出。  即:这是""状态/入口接在错误端点""的接通缺陷(应归类'半接通-接错通道'而非'写好没插电')。修复方向不是去接 batch 调度器,而是把 ingest_chat_message 调用搬到 /chat/start 流程的 insert_user_chat_message(main.py:48987)之后,或抽成 insert_user_chat_message 内部统一副作用,使两个端点都走同一登记入口。原 recommendation""确认 batch_ingest_chat_messages 是否被调度""会把人引向错误方向(batch 版本确实零调用方,但它本就不是生产链路;生产链路是单条 ingest_chat_message,且已挂错端点)。","确认 batch_ingest_chat_messages 是否被任何端点/worker 调度;若未接调度器,这是写好却没插电的入口。对话是高价值承诺/风险来源,应纳入主干登记。"
