入口(端点/worker),所属模块,读表(分号分隔),写表(分号分隔),是否经统一来源登记(source_registry/data_center_ingest_events),四仓覆盖,置信度
/api/v1/tasks/{task_id}/attachments,任务与日程,client_folders; documents; event_lines; tasks,activity_logs; atomic_fact_confidence_history; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; …(共36表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/event-lines/{event_line_id}/report-snapshot,事件线,(读边无端点链),activity_logs; atomic_fact_confidence_history; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; …(共33表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/workspace/backfill-imports,智能文件导入,(读边无端点链),activity_logs; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; fact_contradictions; …(共33表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
[worker] _worker_loop,系统同步,(读边无端点链),activity_logs; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; fact_contradictions; …(共32表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/documents/from-text,客户工作台,(读边无端点链),activity_logs; atomic_facts; card_review_queue; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; fact_contradictions; glossary_drift_alerts; …(共26表),否,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/knowledge/parse-failures/retry,客户工作台,(读边无端点链),activity_logs; card_review_queue; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; judgment_versions; knowledge_document_versions; knowledge_documents; …(共23表),否,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/strategic-cockpit/meeting-pack/{meeting_id}/apply,客户工作台,(读边无端点链),activity_logs; data_center_ingest_events; data_center_sync_outbox; documents; exp_wall_quotes; growth_ability_profiles; growth_capture_states; growth_evidence_records; growth_signal_events; learning_content_items; memory_facts; strategic_cockpit_snapshots; task_settings; task_tags; …(共18表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/tasks/{task_id},任务与日程,operators; task_attachments; task_collaborators; task_lists; tasks,commitments; data_center_ingest_events; data_center_sync_outbox; documents; event_line_activities; event_line_memory_snapshots; event_lines; growth_signal_events; memory_facts; organization_notebook_snapshots; task_collaborators; tasks; v2_documents,是,共识事实/原始资料/系统/认知产品,中(混合)
[worker] _startup_worker,系统同步,clients; tasks,analysis_jobs; chat_messages; client_analysis_runs; client_stage_audit; client_template_fill_runs; clients; event_lines; idempotency_keys; imports; knowledge_jobs; reasoning_traces; tasks; workspace_context_refresh_events; workspace_link_import_runs,否,共识事实/原始资料/系统/认知产品,中(混合)
/api/v1/clients/{client_id}/meetings/{meeting_id}/publish,客户工作台,action_items; decisions,action_items; data_center_ingest_events; documents; event_line_activities; evidence_refs; growth_ability_profiles; growth_evidence_records; growth_signal_events; learning_content_items; meetings; memory_facts; task_settings; v2_documents; xp_ledger,是,共识事实/原始资料/富化索引/系统/认知产品,中(混合)
/api/v1/clients/{client_id}/workspace/chat,客户工作台,(读边无端点链),answer_runs; atomic_facts; chat_messages; chat_threads; clarification_records; client_analysis_runs; commitments; data_center_proposal_drafts; data_center_shadow_runs; document_chunks; documents; evidence_quality_annotations; generation_runtime_state_v2; risk_signals; …(共15表),否,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/smart-import/sessions/{session_id}/commit,智能文件导入,import_story_sessions; v2_chunks; v2_documents,atomic_fact_confidence_history; atomic_facts; commitments; documents; entities; event_line_activities; import_staged_files; import_story_chunks; import_story_sessions; knowledge_jobs; risk_signals; source_registry; team_sync_state,是,共识事实/原始资料/系统,中(call_name_match)
/api/v1/clients/{client_id}/meetings/{meeting_id}/extract,客户工作台,action_items; agenda_items; ambiguities; decisions; risks,action_items; agenda_items; ambiguities; data_center_ingest_events; decisions; documents; meetings; memory_facts; risks; v2_chunks; v2_documents; v2_sections,是,共识事实/原始资料/富化索引/系统,中(混合)
[worker] knowledge_worker_loop,客户工作台,(读边无端点链),client_dna_documents; client_folders; document_cards; document_catalog_index; document_chunks; documents; imports; knowledge_document_versions; knowledge_documents; knowledge_job_events; knowledge_jobs; knowledge_master_index; knowledge_surrogates; v2_documents,否,原始资料/富化索引/系统,中(call_name_match)
/api/v1/event-lines/{event_line_id},事件线,event_line_activities; event_line_attachments; event_lines; tasks,data_center_ingest_events; data_center_sync_outbox; documents; event_line_memory_snapshots; event_lines; memory_facts; organization_notebook_snapshots; tasks; v2_chunks; v2_documents; v2_sections,是,共识事实/原始资料/富化索引/系统/认知产品,中(混合)
[worker] background_resolve_chat_answer,客户工作台,chat_messages,answer_runs; chat_messages; chat_threads; client_analysis_runs; clients; data_center_proposal_drafts; data_center_shadow_runs; document_chunks; documents; evidence_quality_annotations; generation_runtime_state_v2; v2_documents,否,共识事实/原始资料/富化索引/系统/认知产品,中(混合)
[worker] local_model_optimizer_worker_loop,系统同步,(读边无端点链),ai_episode_log; atomic_fact_confidence_history; atomic_facts; document_cards; document_path_optimizations; entities; event_log; idempotency_keys; local_model_tasks; reasoning_traces; v2_chunks; v2_sections,否,共识事实/富化索引/系统/认知产品,中(call_name_match)
/api/v1/local-ai/run-now,系统同步,(读边无端点链),ai_episode_log; atomic_fact_confidence_history; atomic_facts; document_cards; document_path_optimizations; entities; event_log; idempotency_keys; local_model_tasks; reasoning_traces; v2_chunks; v2_sections,否,共识事实/富化索引/系统/认知产品,中(call_name_match)
/api/v1/event-lines,事件线,clients; event_lines,data_center_ingest_events; data_center_sync_outbox; documents; event_line_memory_snapshots; event_lines; idempotency_keys; memory_facts; reasoning_traces; v2_chunks; v2_documents; v2_sections,是,共识事实/原始资料/富化索引/系统/认知产品,中(混合)
/api/v1/clients/{client_id}/documents/ai-action,客户工作台,writing_skills,answer_runs; chat_messages; chat_threads; client_analysis_runs; data_center_proposal_drafts; data_center_shadow_runs; document_chunks; documents; evidence_quality_annotations; generation_runtime_state_v2; v2_documents,否,原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/reviews/weekly,周复盘,(读边无端点链),exp_wall_quotes; growth_ability_profiles; growth_capture_states; growth_evidence_records; growth_signal_events; learning_content_items; learning_recommendations; task_settings; weekly_review_task_entries; weekly_reviews; xp_ledger,否,共识事实/系统/认知产品,中(call_name_match)
/api/v1/settings/demo-data/load,系统同步,(读边无端点链),chat_messages; chat_threads; clients; dna_terms; documents; goal_records; handbook_entries; task_notes; tasks; topic_candidates; topic_radars,否,共识事实/原始资料/系统/认知产品,中(call_name_match)
/api/v1/clients,客户工作台,(读边无端点链),chat_threads; client_folders; client_stage_audit; clients; documents; idempotency_keys; knowledge_documents; knowledge_master_index; knowledge_surrogates; reasoning_traces; v2_documents,否,共识事实/原始资料/富化索引/系统/认知产品,中(混合)
[worker] run_internet_enrichment,智能文件导入,glossary_attributes,atomic_fact_confidence_history; atomic_facts; documents; fact_contradictions; glossary_drift_alerts; source_registry; team_sync_state; v2_chunks; v2_documents; v2_sections,是,共识事实/原始资料/富化索引/系统,中(call_name_match)
[worker] _sync_task_attachment_scope,任务与日程,documents; event_line_activities; knowledge_documents; memory_facts; v2_documents,client_folders; documents; event_line_activities; event_line_memory_snapshots; evidence_refs; knowledge_documents; organization_notebook_snapshots; v2_documents,否,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/intelligence/refresh,资讯情报,clients,documents; intelligence_candidate_items; intelligence_fetch_jobs; intelligence_items; intelligence_refresh_runs; intelligence_search_intents; intelligence_source_configs; v2_chunks; v2_documents; v2_sections,否,原始资料/富化索引/系统/认知产品,中(混合)
/api/v1/clients/{client_id}/workspace/data-center-readiness/actions,客户工作台,documents; knowledge_master_index; v2_documents,document_chunks; documents; knowledge_job_events; knowledge_jobs; local_model_tasks; v2_documents; vector_index_manifests; workspace_context_refresh_events,否,原始资料/富化索引/系统,中(混合)
[worker] _sync_event_line_client_scope_records,事件线,analysis_jobs; context_packs; judgment_versions,approval_records; context_packs; dna_deltas; evidence_cards; handbook_entries; judgment_versions; learning_recommendations; runtime_run_logs,否,共识事实/富化索引/系统/认知产品,低(needs_human)
/api/v1/clients/{client_id}/documents/auto-repair/apply,客户工作台,(读边无端点链),activity_logs; client_folders; documents; knowledge_documents; knowledge_job_events; knowledge_jobs; knowledge_master_index; knowledge_surrogates; v2_documents,否,原始资料/富化索引/系统,中(call_name_match)
/api/v1/clients/{client_id}/workspace/data-center-readiness,客户工作台,clients; context_packs; data_center_ingest_events; document_cards; documents; event_lines; knowledge_documents; knowledge_job_events; knowledge_jobs; knowledge_master_index; knowledge_surrogates; tasks; v2_documents,data_center_ingest_events; vector_index_manifests,是,富化索引/系统,中(call_name_match)
/api/v1/meeting-minutes/process,智能文件导入,(读边无端点链),atomic_facts; clarification_records; commitments; event_line_activities; event_lines; fact_contradictions; risk_signals; strategic_thought_insights,否,共识事实/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/strategic-cockpit/confirm,战略陪伴,(读边无端点链),exp_wall_quotes; growth_capture_states; growth_evidence_records; growth_signal_events; strategic_cockpit_snapshots; task_settings; task_tags; xp_ledger,否,共识事实/系统/认知产品,中(call_name_match)
[worker] _background_sync_exp_wall,成长中心,(读边无端点链),exp_wall_quotes; exp_wall_reactions; growth_ability_weekly_snapshot; growth_capture_states; growth_evidence_records; growth_signal_events; growth_validation_events; handbook_entries,否,共识事实/认知产品,中(call_name_match)
/api/v1/growth/recommendations/{recommendation_id}/accept,成长中心,(读边无端点链),clarification_records; event_line_activities; growth_signal_events; learning_recommendations; task_lists; task_settings; tasks,否,共识事实/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/duplicate-documents/resolve,客户工作台,documents; v2_documents,atomic_facts; document_recycle_bin; duplicate_group_reviews; evidence_refs; task_attachments; task_attachments_cloud,否,共识事实/原始资料/富化索引,高(static)
/api/v1/handbook,成长中心,(读边无端点链),growth_ability_profiles; growth_evidence_records; growth_signal_events; handbook_entries; learning_content_items; learning_recommendations; xp_ledger,否,共识事实/认知产品,中(call_name_match)
/api/v1/tasks,任务与日程,(读边无端点链),clarification_records; event_line_activities; idempotency_keys; reasoning_traces; task_collaborators; task_lists; tasks,否,共识事实/系统/认知产品,中(call_name_match)
/api/v1/channels/feishu/events,智能文件导入,(读边无端点链),action_items; agenda_items; ambiguities; decisions; meeting_sources; meetings; risks,否,共识事实/原始资料,中(call_name_match)
[worker] sync_human_file_locations_for_client,系统同步,client_folders; document_cards; documents; knowledge_documents; knowledge_master_index; knowledge_surrogates,documents; file_reclass_events; knowledge_documents; knowledge_master_index,否,原始资料/富化索引/系统,中(混合)
/api/v1/imports,智能文件导入,knowledge_documents,clients; documents; imports; knowledge_job_events; knowledge_jobs; source_tree_snapshots,否,共识事实/原始资料/系统,中(混合)
/api/v1/clients/{client_id}/folders,客户工作台,client_folders,client_folders; documents; knowledge_documents; knowledge_master_index; knowledge_surrogates; v2_documents,否,原始资料/富化索引/系统,中(混合)
/api/v1/clients/{client_id}/meetings/{meeting_id}/ingest,客户工作台,meeting_sources,data_center_ingest_events; documents; meeting_sources; meetings; memory_facts; v2_documents,是,共识事实/原始资料/系统,中(混合)
/api/v1/intelligence/items/{item_id}/tasks,资讯情报,(读边无端点链),clarification_records; event_line_activities; intelligence_items; operators; task_lists; tasks,否,共识事实/原始资料/系统,中(混合)
/api/v1/growth/handbook/{entry_id}/mark-reused,成长中心,(读边无端点链),growth_evidence_records; growth_signal_events; growth_validation_events; handbook_entries; learning_recommendations; xp_ledger,否,共识事实/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/folders/apply-recommendation,客户工作台,(读边无端点链),client_folders; documents; knowledge_documents; knowledge_master_index; knowledge_surrogates; v2_documents,否,原始资料/富化索引/系统,中(call_name_match)
/api/v1/clients/{client_id}/folders/{folder_id},客户工作台,(读边无端点链),client_folders; documents; knowledge_documents; knowledge_master_index; knowledge_surrogates; v2_documents,否,原始资料/富化索引/系统,中(混合)
/api/v1/clients/{client_id}/dna-documents/generate,战略陪伴,(读边无端点链),client_folders; documents; knowledge_documents; knowledge_master_index; knowledge_surrogates; v2_documents,否,原始资料/富化索引/系统,中(call_name_match)
/api/v1/intelligence/verification-feedback,资讯情报,intelligence_candidate_items; intelligence_verification_rules,intelligence_candidate_items; intelligence_feedback_events; intelligence_feedback_summaries; intelligence_items; intelligence_verification_rules,否,原始资料/系统/认知产品,中(混合)
/api/v1/data-center/diagnose,数据中心,(读边无端点链),data_center_proposal_drafts; data_center_shadow_runs; document_chunks; documents; evidence_quality_annotations; v2_documents,否,原始资料/富化索引/系统,中(call_name_match)
/api/v1/data-center/resolve,数据中心,(读边无端点链),data_center_proposal_drafts; data_center_shadow_runs; document_chunks; documents; evidence_quality_annotations; v2_documents,否,原始资料/富化索引/系统,中(call_name_match)
/api/v1/clients/{client_id}/knowledge-status,客户工作台,activity_logs; atomic_facts; client_strategic_profiles; event_lines; evidence_cards; fact_contradictions; judgment_versions; strategic_thought_insights; strategic_thought_reviews; v2_documents,vector_index_manifests,否,富化索引,中(call_name_match)
/api/v1/topics/candidates/{candidate_id}/promote-task,资讯情报,topic_candidates,clarification_records; event_line_activities; task_lists; tasks; topic_candidates,否,共识事实/认知产品,中(混合)
/api/v1/entities/{merged_id}/merge,数据中心,entities,atomic_facts; entities; entity_mentions; entity_merge_log; relationship_triples,否,共识事实,中(call_name_match)
/api/v1/intelligence/sentiment/refresh,资讯情报,clients; intelligence_items; project_modules,data_center_ingest_events; intelligence_brand_audits; intelligence_items; intelligence_sentiment_themes,是,原始资料/系统/认知产品,中(call_name_match)
/api/v1/workspace-answer-action-cards/{message_id}/create-task,客户工作台,(读边无端点链),clarification_records; event_line_activities; task_lists; task_settings; tasks,否,共识事实/系统,中(call_name_match)
/api/v1/auth/login,系统同步,(读边无端点链),chat_threads; clients; idempotency_keys; local_identities; reasoning_traces,否,共识事实/原始资料/系统/认知产品,中(call_name_match)
/api/v1/auth/register,系统同步,(读边无端点链),chat_threads; clients; idempotency_keys; local_identities; reasoning_traces,否,共识事实/原始资料/系统/认知产品,中(call_name_match)
/api/v1/recordings/transcribe-local-audio,智能文件导入,(读边无端点链),atomic_facts; idempotency_keys; reasoning_traces; v2_chunks; v2_sections,否,共识事实/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/documents/{document_id}/move-folder,客户工作台,client_folders; documents,client_folders; documents; knowledge_documents; v2_documents,否,原始资料/系统,中(混合)
[worker] upsert_synced_bot_from_cloud,系统同步,bot_members; bot_permission_policies; bot_reporting_lines,bot_members; bot_permission_policies; bot_reporting_lines,否,系统,中(混合)
/api/v1/event-lines/{event_line_id}/merge,事件线,event_line_activities; event_line_memory_snapshots; event_lines,event_line_activities; event_line_delete_tombstones; event_lines,否,共识事实,低(needs_human)
/api/v1/clients/{client_id}/strategic-cockpit/lines/{line_id},战略陪伴,tasks,exp_wall_quotes; growth_capture_states; growth_signal_events; task_tags,否,共识事实,中(call_name_match)
/api/v1/topics/candidates/{candidate_id}/promote-tasks,资讯情报,topic_candidates,event_line_activities; task_lists; tasks; topic_candidates,否,共识事实/认知产品,中(混合)
/api/v1/clients/{client_id}/todos/{todo_id}/promote-to-task,客户工作台,action_items; commitments; task_lists,action_items; commitments; tasks,否,共识事实/原始资料,高(static)
/api/v1/tasks/{task_id}/review/approve,任务与日程,(读边无端点链),activity_logs; task_collaborators; task_lists; tasks,否,共识事实/系统,中(call_name_match)
/api/v1/reviews,周复盘,(读边无端点链),exp_wall_quotes; growth_capture_states; growth_signal_events; task_settings,否,共识事实/系统,中(call_name_match)
/api/v1/reviews/weekly/draft,周复盘,(读边无端点链),learning_recommendations; task_settings; weekly_review_task_entries; weekly_reviews,否,系统/认知产品,中(call_name_match)
/api/v1/data-center/proposal-drafts/{draft_id}/promote,数据中心,(读边无端点链),data_center_proposal_drafts; proposal_records; task_settings; workspace_context_refresh_events,否,系统,中(call_name_match)
[worker] _sync_badge_unlocks,成长中心,(读边无端点链),badge_unlock_records; growth_evidence_records; growth_signal_events; xp_ledger,否,共识事实/认知产品,中(混合)
/api/v1/clients/{client_id}/strategic-cockpit,战略陪伴,(读边无端点链),exp_wall_quotes; growth_capture_states; growth_signal_events; task_tags,否,共识事实,中(call_name_match)
/api/v1/clients/{client_id}/project-portrait/build,战略陪伴,(读边无端点链),commitments; glossary_relations; risk_signals; tasks,否,共识事实,中(call_name_match)
/api/v1/clients/{client_id}/workspace/chat/start,客户工作台,chat_messages; writing_skills,chat_messages; chat_threads; client_analysis_runs,否,原始资料/认知产品,中(混合)
[worker] _schedule_post_answer_enrichment,智能文件导入,(读边无端点链),chat_messages; chat_thread_memory_packs; idempotency_keys; reasoning_traces,否,原始资料/系统/认知产品,中(call_name_match)
/api/v1/auth/me,系统同步,(读边无端点链),chat_threads; clients; idempotency_keys; reasoning_traces,否,共识事实/原始资料/系统/认知产品,中(call_name_match)
/api/v1/smart-import/sessions/{session_id}/chunks,智能文件导入,(读边无端点链),import_staged_files; import_story_chunk_files; import_story_chunks; import_story_sessions,否,原始资料,中(call_name_match)
/api/v1/admin/unified-workspace-migrate,客户工作台,(读边无端点链),documents; knowledge_documents; trashed_files; v2_documents,否,原始资料,中(call_name_match)
/api/v1/topics/candidates/{candidate_id}/chat,资讯情报,topic_candidate_insights; topic_candidates; topic_radars,topic_candidate_insights; topic_candidates,否,认知产品,中(call_name_match)
/api/v1/smart-import/chunks/{chunk_id},智能文件导入,import_story_chunks,import_staged_files; import_story_chunks; import_story_sessions,否,原始资料,中(call_name_match)
