表名,中文解释,四仓,行数,状态,主要写入入口,主要读取方,scope列(client/org/user/source),时间列(created/updated),备注
intelligence_candidate_items,资讯候选条目(抓取原文),原始资料,1703,真接通,create_app; /api/v1/intelligence/verification-feedback; /api/v1/intelligence/refresh,create_app; submit_verification_feedback,client有/org无/user无/source无,"created有,updated有",
intelligence_feedback_events,资讯反馈事件,系统,3,真接通,/api/v1/intelligence/items/{item_id}/chat,feedback_diagnostics,client有/org无/user无/source无,"created有,updated无",
intelligence_feedback_summaries,资讯反馈汇总(空),认知产品,0,死表,/api/v1/intelligence/items/{item_id}/chat,_upsert_summary; feedback_score_for_candidate,client有/org无/user无/source无,"created有,updated有",空表
intelligence_fetch_jobs,资讯抓取作业,原始资料,1996,真接通,/api/v1/intelligence/refresh,get_candidate_supply_status_for_scope; get_source_diagnostics,client有/org无/user无/source无,"created有,updated无",
intelligence_focus_directives,资讯聚焦指令,系统,1,真接通,(无/建表),create_app; list_focus_directives,client无/org无/user无/source无,"created有,updated有",
intelligence_items,资讯条目,原始资料,151,真接通,create_app; /api/v1/intelligence/verification-feedback; /api/v1/intelligence/items/{item_id}/dismiss,create_app; list_intelligence_items,client有/org无/user无/source无,"created有,updated有",
intelligence_profiles,资讯画像(空),系统,0,死表,create_app; /api/v1/intelligence/profiles/{profile_id}; /api/v1/intelligence/profiles/{profile_id}/refresh,create_app; import_sync_intelligence_demo.apply_rows,client有/org有/user无/source无,"created有,updated有",空表
intelligence_refresh_runs,资讯刷新运行,认知产品,26,真接通,create_app; /api/v1/intelligence/refresh-runs; /api/v1/intelligence/refresh,create_app; list_intelligence_refresh_runs,client有/org无/user无/source无,"created有,updated有",
intelligence_search_diagnostics,资讯检索诊断(空),系统,0,门面,run_intelligence_search_diagnostic,(无读边),client有/org无/user无/source无,"created有,updated无",空表;孤儿写
intelligence_search_intents,资讯检索意图,认知产品,667,真接通,(无/建表),_profile_deep_dive_rows; continue_timely_candidate_review,client有/org无/user无/source无,"created有,updated有",
intelligence_sentiment_themes,资讯情绪主题,认知产品,13,真接通,/api/v1/intelligence/sentiment/themes,collect_signals; _persist_themes,client无/org无/user无/source无,"created有,updated有",
intelligence_source_configs,资讯源配置,系统,155,真接通,create_app; /api/v1/intelligence/refresh-cycle-settings; /api/v1/intelligence/refresh,ensure_default_source_configs; _disable_invalid_discovered_sources,client有/org无/user无/source有,"created有,updated有",
intelligence_verification_rules,资讯核验规则(空),系统,0,死表,(无/建表),create_app; list_verification_rules,client无/org无/user无/source无,"created有,updated有",空表
job_stage_runs,作业阶段运行,系统,275,半接通,(无/建表),list_analysis_job_stages,client无/org无/user无/source无,"created有,updated有",
judgment_versions,判断/判卡版本,认知产品,67,真接通,/api/v1/strategic/thoughts/{thought_id}/review; _sync_event_line_client_scope_records; create_app,build_template_fill_context; _collect_strategic_insight_context,client有/org无/user无/source无,"created有,updated有",
kernel_primary_rollout_runs,内核主推灰度运行(空),系统,0,死表,/api/v1/data-center/kernel-primary-rollout/start; /api/v1/data-center/kernel-primary-rollout/{run_id}/complete; /api/v1/data-center/kernel-primary-rollout/{run_id}/rollback,list_kernel_primary_rollout_runs; get_kernel_primary_rollout_run,client无/org无/user无/source无,"created有,updated有",空表
key_decisions,关键决策(空),共识事实,0,门面,(无/建表),_weekly_mainline_collect_story_web,client有/org无/user无/source有,"created有,updated有",空表
knowledge_document_versions,知识文档版本,原始资料,237,真接通,/api/v1/tasks/{task_id}/attachments; knowledge_worker_loop,hydrate_missing_surrogates; refresh_existing_knowledge_document,client无/org无/user无/source无,"created有,updated无",
knowledge_documents,知识文档,原始资料,612,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; _sync_task_attachment_scope; create_app,_client_folder_file_count; _collect_strategic_insight_context,client有/org无/user无/source无,"created有,updated有",
knowledge_job_events,知识作业事件,系统,2837,真接通,create_app; knowledge_worker_loop,create_app; get_workspace_data_center_readiness,client无/org无/user无/source无,"created有,updated无",孤儿写;needs_human动态写
knowledge_jobs,知识作业,系统,77,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; _startup_worker; knowledge_worker_loop,create_app; _has_active_workspace_document_auto_repair_job,client有/org无/user无/source无,"created有,updated有",needs_human动态写
knowledge_master_index,知识主索引,富化索引,565,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; create_app; /api/v1/clients/{client_id}/folders/apply-recommendation,create_app; get_workspace_data_center_readiness,client有/org无/user无/source无,"created无,updated有",
knowledge_master_index_fts,知识主索引FTS,富化索引,596,真接通,sync_master_index_fts,sync_master_index_fts; search_master_index_fts,client有/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_config,FTS配置,富化索引,1,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_content,FTS内容,富化索引,596,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_data,FTS数据,富化索引,583,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_docsize,FTS文档大小,富化索引,596,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_master_index_fts_idx,FTS索引,富化索引,580,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",
knowledge_search_runs,知识检索运行,认知产品,80,真接通,/api/v1/clients/{client_id}/knowledge/search; create_app,load_cached_retrieval_bundle; create_app,client有/org无/user无/source无,"created有,updated有",孤儿写;needs_human动态写
knowledge_surrogates,知识代理摘要(深读卡),富化索引,555,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; create_app; /api/v1/clients/{client_id}/folders/apply-recommendation,list_client_memory_cards; create_app,client有/org无/user无/source有,"created有,updated有",needs_human动态写
learning_content_items,学习内容条目,认知产品,6,真接通,/api/v1/growth/ledger,rebuild_learning_recommendations; list_learning_recommendations,client无/org无/user无/source无,"created有,updated有",
learning_recommendations,学习推荐,认知产品,10,真接通,_sync_event_line_client_scope_records; /api/v1/handbook; /api/v1/growth/recommendations/{recommendation_id}/accept,rebuild_learning_recommendations; list_learning_recommendations,client有/org无/user有/source无,"created有,updated有",needs_human动态写
local_identities,本地身份(V2.1残留孤儿表),系统,1,真接通,/api/v1/local-auth/register; /api/v1/local-auth/login; /api/v1/auth/login,local_auth_register; local_auth_login,client无/org无/user无/source无,"created有,updated有",V2.1残留孤儿表
local_model_tasks,本地模型任务队列,系统,221,真接通,/api/v1/local-ai/backfill; /api/v1/clients/{client_id}/workspace/data-center-readiness/actions; retry_failed_local_model_optimization_tasks._update,create_app; get_local_ai_queue,client有/org无/user无/source无,"created有,updated有",needs_human动态写
logical_file_mappings,逻辑文件映射(空),系统,0,门面,(无/建表),(无读边),client无/org无/user无/source无,"created有,updated有",空表
meeting_sources,会议来源,原始资料,1,真接通,/api/v1/clients/{client_id}/strategic-cockpit/meeting-pack; create_app; /api/v1/clients/{client_id}/meetings/{meeting_id}/ingest,create_app; ingest_meeting,client无/org无/user无/source无,"created有,updated无",
meetings,会议主表,原始资料,7,真接通,/api/v1/clients/{client_id}/strategic-cockpit/meeting-pack; /api/v1/clients/{client_id}/meetings; /api/v1/feishu/minutes/{minute_token}/import,_meeting_summaries_for_tasks; _meeting_summary_for_id,client有/org无/user无/source无,"created有,updated有",
memory_facts,记忆事实(事实层主表),共识事实,4318,真接通,/api/v1/event-lines; /api/v1/tasks/{task_id}; _sync_reference_scope_facts,collect_data_center_context_for_consultation; _sync_task_attachment_scope,client无/org有/user无/source有,"created有,updated有",
mirror_client_related_users,镜像-客户相关用户(空),系统,0,门面,(无/建表),list_users_visible_for_client; list_clients_visible_for_user,client有/org无/user有/source无,"created无,updated无",空表;组织镜像表全空(镜像桥未写)
mirror_departments,镜像-部门(空),系统,0,门面,(无/建表),get_department_by_id; list_active_departments,client无/org有/user无/source无,"created无,updated无",空表;组织镜像表全空(镜像桥未写)
mirror_organizations,镜像-组织(空),系统,0,门面,(无/建表),get_organization; list_organizations,client无/org无/user无/source无,"created无,updated无",空表;组织镜像表全空(镜像桥未写)
mirror_users,镜像-用户(空),系统,0,门面,(无/建表),list_department_leaders; ensure_bot_schema,client无/org有/user无/source无,"created无,updated无",空表;组织镜像表全空(镜像桥未写)
module_definition_entries,模块定义条目,富化索引,133,真接通,/api/v1/settings/module-dna/{module_id}/entries,append_entry; list_entries,client无/org无/user无/source无,"created有,updated无",
module_definitions,模块定义,富化索引,21,真接通,/api/v1/settings/module-dna; /api/v1/settings/module-dna/{module_id}; /api/v1/settings/module-dna/{module_id}/entries,list_modules; get_module,client无/org无/user无/source无,"created有,updated有",
narrative_stale_signals,叙事过期信号,认知产品,5,真接通,/api/v1/system/broadcast-data-changed; /api/v1/tasks/{task_id}/attachments,get_narrative_stale_status; clear_narrative_stale,client有/org无/user无/source无,"created无,updated无",
narrative_suggestion_log,叙事建议日志,认知产品,19,真接通,/api/v1/clients/{client_id}/suggestions/log; create_app,list_suggestion_log; remove_suggestion_log_entry,client有/org无/user无/source无,"created有,updated无",
next_step_background_cache,下一步建议后台缓存,认知产品,41,真接通,_prefetch_next_step_backgrounds; create_app._prefetch_next_step_backgrounds._one; /api/v1/clients/{client_id}/next-steps-background,_prefetch_next_step_backgrounds; get_next_step_background,client有/org无/user无/source无,"created有,updated无",
object_storage_settings,对象存储配置,系统,1,真接通,_sync_object_storage_config_from_cloud,get_object_storage_settings,client无/org无/user无/source无,"created无,updated有",needs_human动态写
open_questions,开放问题,共识事实,25,半接通,(无/建表),list_open_questions; _build_analysis_center_summary,client有/org无/user无/source无,"created有,updated有",
operators,操作员账号,系统,1,真接通,create_app; /api/v1/settings; /api/v1/memory/judgments/confirm,_ensure_local_tag; create_app,client无/org无/user无/source无,"created有,updated有",
org_events,组织事件(空),系统,0,门面,(无/建表),(无读边),client有/org无/user无/source有,"created有,updated有",空表
organization_dna_documents,组织DNA文档,原始资料,4,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated有",
organization_dna_refresh_events,组织DNA刷新事件,认知产品,72,真接通,/api/v1/digital-assets/organization-dna/refresh; create_app,_build_organization_dna_refresh_run; create_app,client无/org无/user无/source无,"created有,updated无",孤儿写;needs_human动态写
organization_dna_refresh_runs,组织DNA刷新运行,认知产品,7,真接通,/api/v1/digital-assets/organization-dna/refresh,_build_organization_dna_refresh_run; create_app,client无/org无/user无/source无,"created有,updated有",needs_human动态写
organization_dna_v2_items,组织DNA v2条目,认知产品,199,真接通,/api/v1/digital-assets/organization-dna/refresh,_collect_context; get_organization_dna_snapshot,client无/org无/user无/source有,"created有,updated有",
organization_notebook_snapshots,组织笔记本快照,认知产品,13,真接通,_sync_task_attachment_scope,create_app; _gather_task_context_bundle,client有/org无/user无/source无,"created有,updated有",
project_flows,项目流程(空),系统,0,死表,/api/v1/clients/{client_id}/project-flows; /api/v1/clients/{client_id}/project-flows/{flow_id},_collect_strategic_insight_context; create_app,client有/org无/user无/source无,"created有,updated有",空表
project_modules,项目模块,系统,4,真接通,/api/v1/clients/{client_id}/project-modules; /api/v1/clients/{client_id}/project-modules/{module_id},_collect_strategic_insight_context; create_app,client有/org无/user无/source无,"created有,updated有",
project_procedures,项目程序(空),系统,0,门面,(无/建表),(无读边),client有/org无/user无/source无,"created有,updated有",空表
prompt_log,提示词日志(空),系统,0,门面,(无/建表),(无读边),client有/org无/user有/source无,"created有,updated无",空表
proposal_records,提案记录(空),系统,0,死表,/api/v1/clients/{client_id}/meetings/{meeting_id}/proposals/follow-up; create_app._update_proposal_status; /api/v1/data-center/proposal-drafts/{draft_id}/promote,create_app; _latest_proposal_id_for_target,client有/org无/user无/source无,"created有,updated有",空表
reasoning_traces,推理链路,认知产品,7,真接通,_schedule_chat_fact_extraction; /api/v1/clients; local_model_optimizer_worker_loop,get; list_for_entity,client无/org无/user无/source无,"created无,updated无",needs_human动态写
relationship_triples,关系三元组,共识事实,22,真接通,/api/v1/entities/{merged_id}/merge; /api/v1/tasks/{task_id}/attachments,list_triples,client有/org无/user无/source无,"created有,updated有",
report_runs,报告运行,认知产品,4,真接通,/api/v1/reports/{report_run_id}/draft-sections; _run_background; /api/v1/reports/{report_run_id}/render,create_app; report_draft_sections,client有/org无/user无/source无,"created有,updated有",
report_section_runs,报告分段运行,认知产品,17,真接通,/api/v1/reports/draft-blueprint; /api/v1/reports/{report_run_id}/draft-sections; _run_background,create_app; report_draft_sections,client无/org无/user无/source无,"created无,updated无",
retrieval_shadow_runs,检索影子运行(空),系统,0,门面,create_retrieval_shadow_run,list_retrieval_shadow_runs,client有/org无/user无/source无,"created有,updated无",空表;孤儿写
risk_signals,风险信号,共识事实,20,真接通,/api/v1/meeting-minutes/process; /api/v1/clients/{client_id}/workspace/chat; /api/v1/clients/{client_id}/project-portrait/build,collect_data_center_context_for_consultation; create_app,client有/org无/user无/source有,"created有,updated有",needs_human动态写
risks,风险,共识事实,2,真接通,create_app; /api/v1/clients/{client_id}/meetings/{meeting_id}/extract; /api/v1/channels/feishu/events,build_meeting_detail; create_app,client无/org无/user无/source无,"created有,updated无",
runtime_run_logs,运行时日志,系统,155,真接通,_sync_event_line_client_scope_records,get_runtime_run_log; list_runtime_run_logs,client有/org无/user无/source无,"created有,updated无",needs_human动态写
settings,全局键值配置,系统,245,真接通,_sync_object_storage_config_from_cloud; /api/v1/settings/org-model/profile; create_app,get_setting; _load_role_holder_bot_sidecar,client无/org无/user无/source无,"created无,updated无",
source_registry,统一来源登记表,系统,4,真接通,/api/v1/smart-import/sessions/{session_id}/commit; supersede_version,find_by_content_hash; list_sources_for_client,client有/org有/user有/source有,"created有,updated有",孤儿写;needs_human动态写
source_tree_snapshots,文件树快照,系统,47,真接通,(无/建表),ensure_source_tree_snapshot,client有/org无/user无/source无,"created有,updated无",
speech_model_settings,语音模型配置,系统,1,真接通,/api/v1/settings/speech-model,get_speech_model_settings,client无/org无/user无/source无,"created无,updated有",needs_human动态写
strategic_cockpit_snapshots,战略驾驶舱快照,认知产品,1,真接通,/api/v1/clients/{client_id}/strategic-cockpit/meeting-pack/{meeting_id}/apply; create_app,_load_strategic_snapshot_row; save_strategic_cockpit_snapshot,client有/org无/user无/source无,"created有,updated有",孤儿写;needs_human动态写
strategic_thought_insights,战略思想洞察,认知产品,20,真接通,/api/v1/strategic/thoughts; /api/v1/strategic/thoughts/refresh; /api/v1/strategic/thoughts/{thought_id}/state,_list_cached_strategic_thoughts; _persist_generated_insights,client有/org无/user无/source无,"created有,updated有",
strategic_thought_reviews,战略思想评审,认知产品,2,真接通,(无/建表),_list_strategic_thought_review_map; _save_strategic_thought_review,client有/org无/user无/source有,"created有,updated有",孤儿写;needs_human动态写
structured_tables,结构化表格抽取,原始资料,46,真接通,/api/v1/tasks/{task_id}/attachments,upsert_table_from_parsed_sheet; list_tables,client有/org无/user无/source无,"created有,updated有",
sync_conflicts,同步冲突(空),系统,0,门面,(无/建表),(无读边),client无/org无/user无/source无,"created有,updated有",空表
sync_memory_records,同步记忆记录,共识事实,6,半接通,(无/建表),(无读边),client有/org无/user无/source无,"created有,updated有",
sync_outbox,同步发件箱(空),系统,0,门面,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated有",空表
task_attachments,任务附件,原始资料,20,真接通,/api/v1/clients/{client_id}/duplicate-documents/resolve; create_app,get_client_duplicate_documents; get_client_duplicate_documents._ref_counts,client有/org无/user无/source无,"created有,updated无",
task_attachments_cloud,任务附件(云),原始资料,33,真接通,/api/v1/clients/{client_id}/duplicate-documents/resolve; create_app,build_cloud_event_line_detail; get_client_duplicate_documents,client有/org无/user无/source无,"created有,updated无",云影子表与本地正表并存
task_collaborators,任务协作者,共识事实,276,真接通,/api/v1/tasks/{task_id}/reject; /api/v1/tasks; /api/v1/tasks/{task_id}/review/approve,_task_collaboration_state; _lookup_task_creator_name,client无/org有/user有/source无,"created有,updated有",
task_context_brief_snapshots,任务上下文简报快照,认知产品,179,真接通,/api/v1/tasks/{task_id}/context-brief,_save_snapshot; generate_task_context_brief_snapshot,client有/org无/user无/source无,"created有,updated有",
task_lists,任务清单,共识事实,277,真接通,/api/v1/growth/recommendations/{recommendation_id}/accept; /api/v1/settings/tasks; /api/v1/task-lists/repair-duplicates,task_lists; fetch_tasks,client无/org有/user无/source无,"created无,updated无",
task_notes,任务备注,原始资料,17,真接通,/api/v1/settings/demo-data/load,build_task; create_app,client无/org无/user无/source无,"created有,updated有",
task_notes_cloud,任务备注(云),原始资料,12,半接通,(无/建表),create_app; build_cloud_task,client无/org无/user无/source无,"created有,updated有",云影子表与本地正表并存
task_settings,任务设置,系统,4,真接通,/api/v1/reviews; /api/v1/growth/recommendations/{recommendation_id}/accept; /api/v1/settings/tasks,_task_in_week; _task_in_week._get_local_task_settings,client无/org无/user有/source无,"created无,updated有",
task_smart_brief_action_adoptions,智能简报行动采纳(空),认知产品,0,死表,/api/v1/tasks/{task_id}/smart-brief-actions/{action_key}/adopt; create_app,_list_adopted_task_brief_action_keys; create_app,client无/org无/user无/source无,"created无,updated无",空表;孤儿写
task_tags,任务标签,共识事实,62,真接通,/api/v1/tasks/bootstrap-event-lines; /api/v1/task-tags/{tag_id}; backfill_local_task_tag_ids,_pull_cloud_tasks_to_local; sync_local_tasks_for_tag_change,client无/org有/user有/source无,"created有,updated有",
task_understanding_cache,任务理解缓存,认知产品,224,真接通,create_app._precompute_task_understanding; create_app,_precompute_task_understanding; get_task_understanding,client无/org无/user无/source无,"created有,updated有",孤儿写;needs_human动态写
task_views,任务视图,系统,4,真接通,/api/v1/task-views; /api/v1/task-views/{view_id},_ensure_builtin_task_views; create_app,client无/org无/user无/source无,"created有,updated有",
tasks,任务主表,共识事实,344,真接通,/api/v1/tasks; sync_local_tasks_for_tag_change; _try_cloud_sync_task,_restore_local_completed_task_statuses; _pull_cloud_tasks_to_local,client有/org有/user有/source有,"created有,updated有",
team_sync_state,团队同步状态(空),系统,0,死表,/api/v1/smart-import/sessions/{session_id}/commit; run_team_sync_once; enqueue_all_unsynced,run_team_sync_once; get_sync_stats,client有/org有/user无/source有,"created有,updated有",空表
theme_clusters,主题聚类,富化索引,37,半接通,(无/建表),list_theme_clusters; _build_analysis_center_summary,client有/org无/user无/source无,"created有,updated有",
topic_candidate_insights,选题候选洞察,认知产品,3,真接通,(无/建表),create_app; import_sync_intelligence_demo.apply_rows,client无/org无/user无/source无,"created有,updated有",孤儿写;needs_human动态写
topic_candidate_seen,选题候选已读,认知产品,77,真接通,(无/建表),create_app; remember_topic_candidate_seen,client无/org无/user无/source无,"created有,updated无",needs_human动态写
topic_candidates,选题候选,认知产品,3,真接通,/api/v1/settings/demo-data/load; /api/v1/topics/candidates/{candidate_id}/task-plan; /api/v1/topics/candidates,clear_demo_dataset; create_app,client无/org无/user无/source无,"created有,updated有",
topic_radars,选题雷达,认知产品,2,真接通,/api/v1/settings/demo-data/load; /api/v1/topics/radars; /api/v1/topics/radars/{radar_id},build_demo_data_response; clear_demo_dataset,client无/org无/user无/source无,"created有,updated无",
trashed_files,废弃文件,原始资料,55,真接通,/api/v1/tasks/{task_id}/attachments,enforce_size_limit; clear_all,client有/org无/user无/source无,"created无,updated无",
user_ai_preferences,用户AI偏好(空),系统,0,门面,(无/建表),(无读边),client无/org无/user有/source无,"created有,updated有",空表
v2_chunks,v2文档切块,富化索引,12548,真接通,/api/v1/tasks/{task_id}/attachments; run_internet_enrichment; local_model_optimizer_worker_loop,_find_chunk_for_next_step; smart_import_commit_session,client无/org无/user无/source无,"created有,updated无",
v2_documents,v2文档(新主表),原始资料,1141,真接通,/api/v1/clients/{client_id}/documents/auto-repair/apply; _sync_task_attachment_scope; create_app,migrate_client_link_material_documents_to_online_transcripts; _client_folder_file_count,client有/org有/user无/source无,"created无,updated有",
v2_sections,v2文档分节,富化索引,6577,真接通,/api/v1/tasks/{task_id}/attachments; run_internet_enrichment; local_model_optimizer_worker_loop,create_app; build_document_reading_preview_record,client无/org无/user无/source无,"created有,updated无",
vector_index_manifests,向量索引清单,富化索引,38,真接通,/api/v1/clients/{client_id}/knowledge/reindex-vector,get_vector_index_manifest_status,client有/org无/user无/source无,"created无,updated有",
website_audit_snapshots,官网审计快照,认知产品,1,真接通,/api/v1/intelligence/brand-mirror/website-audit,run_brand_mirror_analysis; latest_website_audit,client有/org无/user无/source无,"created有,updated无",
weekly_review_task_entries,周复盘任务条目,认知产品,17,真接通,_write_review_entry,local_review_history; local_review_entries_by_task,client无/org有/user有/source无,"created有,updated有",needs_human动态写
weekly_reviews,周复盘,认知产品,9,真接通,backfill_local_task_tag_ids; _ensure_weekly_review,local_review_row_for_week; local_review_history,client无/org有/user有/source无,"created有,updated有",needs_human动态写
workspace_answer_quality_failures,工作台答案质量失败(空),认知产品,0,死表,/api/v1/workspace-answer-quality-failures/{failure_id}/resolve,record_workspace_answer_quality_failure; list_workspace_answer_quality_failures,client有/org无/user无/source无,"created有,updated有",空表
workspace_answer_value_reviews,工作台答案价值评审(空),认知产品,0,死表,(无/建表),list_workspace_answer_value_reviews; build_workspace_answer_value_summary,client有/org无/user无/source无,"created有,updated无",空表
workspace_context_refresh_events,工作台上下文刷新事件,系统,446,真接通,/api/v1/clients/{client_id}/workspace/data-center-readiness/actions; /api/v1/clients/{client_id}/workspace/proposal-drafts,mark_workspace_context_refresh_event_status; list_workspace_context_refresh_events,client有/org无/user无/source有,"created有,updated有",
workspace_link_import_runs,工作台链接导入运行,原始资料,25,真接通,/api/v1/clients/{client_id}/link-materials/import/start; /api/v1/clients/{client_id}/link-materials/import-runs/{run_id}/cancel; _startup_worker,create_link_material_import_run; fetch_latest_link_material_import_run,client有/org无/user无/source无,"created有,updated有",needs_human动态写
workspace_value_validation_sessions,工作台价值验证会话(空),认知产品,0,死表,/api/v1/workspace-value-validation-sessions; /api/v1/workspace-value-validation-sessions/{session_id}/complete-question; /api/v1/workspace-value-validation-sessions/{session_id}/finish,create_workspace_value_validation_session; list_workspace_value_validation_sessions,client有/org无/user无/source无,"created有,updated有",空表
writing_skills,写作技能配置,系统,1,真接通,_seed_builtin_writing_skills; /api/v1/writing-skills; /api/v1/writing-skills/{skill_id},_seed_builtin_writing_skills; create_app,client无/org无/user无/source无,"created有,updated有",
xp_ledger,成长经验值账本,认知产品,76,真接通,_sync_badge_unlocks; /api/v1/handbook,create_app; build_handbook_detail,client无/org无/user有/source无,"created有,updated无",
